country,first_year_train,last_year_train,sex,max_age,num_basis,tau,latent_dim,forecast_horizon,log_score,date,time,model
sweden,1935,1994,Male,100,15,10.0,3,4,431.8189161280893,15/03/2023,23:49:17,radial_basis
sweden,1935,1994,Male,100,15,10.0,3,5,431.63299724826044,15/03/2023,23:49:17,radial_basis
sweden,1935,1994,Male,100,15,10.0,3,6,450.86574406402474,15/03/2023,23:49:17,radial_basis
sweden,1935,1994,Male,100,15,10.0,3,7,452.6070760304785,15/03/2023,23:49:17,radial_basis
sweden,1935,1994,Male,100,15,10.0,3,8,463.4322710233234,15/03/2023,23:49:17,radial_basis
sweden,1935,1994,Male,100,15,10.0,3,9,451.73971607122945,15/03/2023,23:49:17,radial_basis
sweden,1935,1994,Male,100,15,10.0,3,10,470.6937642339063,15/03/2023,23:49:17,radial_basis
sweden,1936,1995,Male,100,5,10.0,3,1,446.25214793415,16/03/2023,01:46:31,radial_basis
sweden,1936,1995,Male,100,5,10.0,3,2,444.04951969945887,16/03/2023,01:46:31,radial_basis
sweden,1936,1995,Male,100,5,10.0,3,3,465.2989211361806,16/03/2023,01:46:31,radial_basis
sweden,1936,1995,Male,100,5,10.0,3,4,463.07538896732746,16/03/2023,01:46:31,radial_basis
sweden,1936,1995,Male,100,5,10.0,3,5,478.5398029048135,16/03/2023,01:46:31,radial_basis
sweden,1936,1995,Male,100,5,10.0,3,6,476.5209979315127,16/03/2023,01:46:31,radial_basis
sweden,1936,1995,Male,100,5,10.0,3,7,485.91708379307187,16/03/2023,01:46:31,radial_basis
sweden,1936,1995,Male,100,5,10.0,3,8,485.50604710872665,16/03/2023,01:46:31,radial_basis
sweden,1936,1995,Male,100,5,10.0,3,9,509.161141981844,16/03/2023,01:46:31,radial_basis
sweden,1936,1995,Male,100,5,10.0,3,10,510.97881932735,16/03/2023,01:46:31,radial_basis
sweden,1934,1993,Male,100,10,10.0,5,1,443.1631448828592,16/03/2023,01:50:33,radial_basis
sweden,1934,1993,Male,100,10,10.0,5,2,429.1505188003607,16/03/2023,01:50:33,radial_basis
sweden,1934,1993,Male,100,10,10.0,5,3,441.146727488804,16/03/2023,01:50:33,radial_basis
sweden,1934,1993,Male,100,10,10.0,5,4,449.8662740478777,16/03/2023,01:50:33,radial_basis
sweden,1934,1993,Male,100,10,10.0,5,5,461.2843654050064,16/03/2023,01:50:33,radial_basis
sweden,1934,1993,Male,100,10,10.0,5,6,470.48100096944194,16/03/2023,01:50:33,radial_basis
sweden,1934,1993,Male,100,10,10.0,5,7,499.8157947520423,16/03/2023,01:50:33,radial_basis
sweden,1934,1993,Male,100,10,10.0,5,8,508.8773954760663,16/03/2023,01:50:33,radial_basis
sweden,1934,1993,Male,100,10,10.0,5,9,509.88678406870434,16/03/2023,01:50:33,radial_basis
sweden,1934,1993,Male,100,10,10.0,5,10,510.8297548657998,16/03/2023,01:50:33,radial_basis
sweden,1936,1995,Male,100,10,10.0,3,1,414.13766516431133,16/03/2023,02:06:54,radial_basis
sweden,1936,1995,Male,100,10,10.0,3,2,418.3186570235603,16/03/2023,02:06:54,radial_basis
sweden,1936,1995,Male,100,10,10.0,3,3,423.9207470264667,16/03/2023,02:06:54,radial_basis
sweden,1936,1995,Male,100,10,10.0,3,4,424.11595637132194,16/03/2023,02:06:54,radial_basis
