country,first_year_train,last_year_train,sex,max_age,nn_layers,latent_dim,forecast_horizon,log_score,date,time
sweden,1933,1992,Male,100,1,5,4,449.4170742890768,06/02/2023,08:11:19
sweden,1933,1992,Male,100,1,5,5,460.9443687775876,06/02/2023,08:11:19
sweden,1933,1992,Male,100,1,5,6,467.4751803336203,06/02/2023,08:11:19
sweden,1933,1992,Male,100,1,5,7,474.86425836250135,06/02/2023,08:11:19
sweden,1933,1992,Male,100,1,5,8,494.0197749008356,06/02/2023,08:11:19
sweden,1933,1992,Male,100,1,5,9,504.82880217037615,06/02/2023,08:11:19
sweden,1933,1992,Male,100,1,5,10,508.5901991696851,06/02/2023,08:11:19
sweden,1933,1992,Male,100,1,6,1,425.21839322320056,06/02/2023,08:23:40
sweden,1933,1992,Male,100,1,6,2,437.12265180523457,06/02/2023,08:23:40
sweden,1933,1992,Male,100,1,6,3,433.9053768530953,06/02/2023,08:23:40
sweden,1933,1992,Male,100,1,6,4,449.70738271137003,06/02/2023,08:23:40
sweden,1933,1992,Male,100,1,6,5,462.9933426368584,06/02/2023,08:23:40
sweden,1933,1992,Male,100,1,6,6,468.5072606926287,06/02/2023,08:23:40
sweden,1933,1992,Male,100,1,6,7,478.56994222475106,06/02/2023,08:23:40
sweden,1933,1992,Male,100,1,6,8,500.27733950295243,06/02/2023,08:23:40
sweden,1933,1992,Male,100,1,6,9,506.7440304359465,06/02/2023,08:23:40
sweden,1933,1992,Male,100,1,6,10,514.7803008422269,06/02/2023,08:23:40
sweden,1933,1992,Male,100,1,7,1,427.17641348554565,06/02/2023,08:24:42
sweden,1933,1992,Male,100,1,7,2,442.6285928452827,06/02/2023,08:24:42
sweden,1933,1992,Male,100,1,7,3,437.73628160123013,06/02/2023,08:24:42
sweden,1933,1992,Male,100,1,7,4,453.02472865885466,06/02/2023,08:24:42
sweden,1933,1992,Male,100,1,7,5,465.8223577793635,06/02/2023,08:24:42
sweden,1933,1992,Male,100,1,7,6,470.26227620044136,06/02/2023,08:24:42
sweden,1933,1992,Male,100,1,7,7,479.54213440609016,06/02/2023,08:24:42
sweden,1933,1992,Male,100,1,7,8,498.60580793026514,06/02/2023,08:24:42
sweden,1933,1992,Male,100,1,7,9,504.2648633088077,06/02/2023,08:24:42
sweden,1933,1992,Male,100,1,7,10,508.7398822907223,06/02/2023,08:24:42
