country,first_year_train,last_year_train,sex,max_age,forecast_horizon,log_score,date,time,model
sweden,1940,1999,Male,100,5,-482.0460729768263,02/22/2023,17:22:01,PLAT
sweden,1940,1999,Male,100,6,-469.3775774000649,02/22/2023,17:22:01,PLAT
sweden,1940,1999,Male,100,7,-477.1958520091059,02/22/2023,17:22:01,PLAT
sweden,1940,1999,Male,100,8,-495.06926300754736,02/22/2023,17:22:01,PLAT
sweden,1940,1999,Male,100,9,-509.13570864141815,02/22/2023,17:22:01,PLAT
sweden,1940,1999,Male,100,10,-516.659483455787,02/22/2023,17:22:01,PLAT
sweden,1941,2000,Male,100,1,-435.9229097895402,02/23/2023,17:23:29,PLAT
sweden,1941,2000,Male,100,2,-446.9062855833104,02/23/2023,17:23:29,PLAT
sweden,1941,2000,Male,100,3,-422.2812664241939,02/23/2023,17:23:29,PLAT
sweden,1941,2000,Male,100,4,-464.82344539792985,02/23/2023,17:23:29,PLAT
